time_s,waypoint,state,n_objects,classes,frame_path
28.12,1,WAYPOINT_ARRIVED,0,,/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_0_28.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_1_28.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_2_28.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_3_28.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_4_28.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_5_28.1s.jpg
67.85,2,NAVIGATING,2,bird|frisbee,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_67.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_67.9s.jpg
100.91,2,WAYPOINT_ARRIVED,1,banana,/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_0_100.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_1_100.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_2_100.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_3_100.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_4_100.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_5_100.9s.jpg
131.30,3,NAVIGATING,2,surfboard|person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_131.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_131.3s.jpg
145.28,3,WAYPOINT_ARRIVED,0,,/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_0_145.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_1_145.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_2_145.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_3_145.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_4_145.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_5_145.3s.jpg
200.03,4,TURN_COMMIT,2,person|umbrella,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_200.0s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_200.0s.jpg
202.04,4,TURN_COMMIT,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_202.0s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_202.0s.jpg
204.04,4,TURN_COMMIT,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_204.0s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_204.0s.jpg
206.05,4,TURN_COMMIT,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_206.0s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_206.0s.jpg
208.07,4,TURN_COMMIT,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_208.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_208.1s.jpg
217.04,4,TURN_COMMIT,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_217.0s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_217.0s.jpg
249.24,4,WAYPOINT_ARRIVED,1,person,/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_0_249.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_1_249.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_2_249.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_3_249.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_4_249.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_5_249.2s.jpg
297.12,5,WAYPOINT_ARRIVED,1,surfboard,/home/tapaswee/clearpath_ws/logs/vision/wp5_arrival_0_297.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp5_arrival_1_297.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp5_arrival_2_297.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp5_arrival_3_297.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp5_arrival_4_297.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp5_arrival_5_297.1s.jpg
