time_s,waypoint,state,n_objects,classes,frame_path
26.96,1,WAYPOINT_ARRIVED,0,,/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_0_27.0s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_1_27.0s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_2_27.0s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_3_27.0s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_4_27.0s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_5_27.0s.jpg
82.27,2,WAYPOINT_ARRIVED,0,,/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_0_82.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_1_82.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_2_82.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_3_82.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_4_82.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_5_82.3s.jpg
142.36,3,WAYPOINT_ARRIVED,0,,/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_0_142.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_1_142.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_2_142.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_3_142.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_4_142.4s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_5_142.4s.jpg
178.34,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_178.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_178.3s.jpg
186.05,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_186.0s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_186.0s.jpg
188.06,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_188.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_188.1s.jpg
190.07,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_190.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_190.1s.jpg
192.09,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_192.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_192.1s.jpg
194.11,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_194.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_194.1s.jpg
196.11,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_196.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_196.1s.jpg
198.15,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_198.1s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_198.1s.jpg
200.17,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_200.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_200.2s.jpg
202.20,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_202.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_202.2s.jpg
204.22,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_204.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_204.2s.jpg
206.24,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_206.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_206.2s.jpg
208.25,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_208.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_208.2s.jpg
216.33,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_216.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_216.3s.jpg
218.33,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_218.3s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_218.3s.jpg
