time_s,waypoint,state,n_objects,classes,frame_path
19.56,1,NAVIGATING,2,person|person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_19.6s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_19.6s.jpg
21.58,1,NAVIGATING,2,person|person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_21.6s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_21.6s.jpg
23.59,1,NAVIGATING,2,person|person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_23.6s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_23.6s.jpg
25.61,1,NAVIGATING,2,person|person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_25.6s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_25.6s.jpg
27.62,1,NAVIGATING,2,person|person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_27.6s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_27.6s.jpg
29.64,1,NAVIGATING,2,person|person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_29.6s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_29.6s.jpg
31.65,1,NAVIGATING,2,person|person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_31.7s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_31.7s.jpg
33.66,1,NAVIGATING,2,person|person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_33.7s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_33.7s.jpg
35.66,1,NAVIGATING,2,person|person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_35.7s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_35.7s.jpg
37.67,1,NAVIGATING,2,person|person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_37.7s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_37.7s.jpg
39.69,1,NAVIGATING,2,person|person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_39.7s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_39.7s.jpg
41.69,1,NAVIGATING,2,person|person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_41.7s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_41.7s.jpg
43.69,1,NAVIGATING,2,person|person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_43.7s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_43.7s.jpg
45.72,1,NAVIGATING,2,person|person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_45.7s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_45.7s.jpg
49.55,1,NAVIGATING,2,person|person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_49.6s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_49.6s.jpg
51.57,1,NAVIGATING,2,person|person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_51.6s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_51.6s.jpg
56.93,1,WAYPOINT_ARRIVED,0,,/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_0_56.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_1_56.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_2_56.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_3_56.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_4_56.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp1_arrival_5_56.9s.jpg
102.89,2,WAYPOINT_ARRIVED,0,,/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_0_102.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_1_102.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_2_102.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_3_102.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_4_102.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp2_arrival_5_102.9s.jpg
148.16,3,WAYPOINT_ARRIVED,0,,/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_0_148.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_1_148.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_2_148.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_3_148.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_4_148.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp3_arrival_5_148.2s.jpg
189.86,4,WAYPOINT_ARRIVED,0,,/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_0_189.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_1_189.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_2_189.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_3_189.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_4_189.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_5_189.9s.jpg
