#{"t_start": 1775119134.139141, "env_id": "None"}
r,l,t
-50.0,1,1.987933
-50.0,1,3.191762
-50.0,1,4.395298
-50.0,1,5.598832
-50.0,1,6.805269
-50.0,1,8.008562
-50.0,1,9.212051
-50.0,1,10.416401
-50.0,1,11.623612
-50.0,1,12.82783
-50.0,1,14.03104
-50.0,1,15.234619
-50.0,1,16.440434
-50.0,1,17.643539
-50.0,1,18.846864
-50.0,1,20.051062
-50.0,1,21.257956
-50.0,1,22.462322
-50.0,1,23.666167
-50.0,1,24.869952
-50.0,1,26.075317
-50.0,1,27.278893
-50.0,1,28.484021
-50.0,1,29.688998
-50.0,1,30.894398
-50.0,1,32.097936
-50.0,1,33.30196
-50.0,1,34.506027
-50.0,1,35.711385
-50.0,1,36.915634
-50.0,1,38.119694
-50.0,1,39.322931
-50.0,1,40.529352
-50.0,1,41.732527
-50.0,1,42.936283
-50.0,1,44.140249
-50.0,1,45.345826
-50.0,1,46.549742
-50.0,1,47.753688
-50.0,1,48.957312
-50.0,1,50.162872
-50.0,1,51.366662
-50.0,1,52.570676
-50.0,1,53.774218
-50.0,1,54.979975
-50.0,1,56.184507
-50.0,1,57.388025
-50.0,1,58.593382
-50.0,1,59.798726
-50.0,1,61.00194
-50.0,1,62.205353
-50.0,1,63.409282
-50.0,1,64.614681
-50.0,1,65.818373
-50.0,1,67.021674
-50.0,1,68.22665
-50.0,1,69.433136
-50.0,1,70.636357
-50.0,1,71.839893
-50.0,1,73.043949
-50.0,1,74.249302
-50.0,1,75.453238
-50.0,1,76.657476
-50.0,1,77.860959
-50.0,1,79.06619
-50.0,1,80.270196
-50.0,1,81.474535
-50.0,1,82.678095
-50.0,1,83.883458
-50.0,1,85.086664
-50.0,1,86.290622
-50.0,1,87.494902
-50.0,1,88.700407
-50.0,1,89.904505
-50.0,1,91.108724
-50.0,1,92.312477
-50.0,1,93.518849
-50.0,1,94.722337
-50.0,1,95.926019
-50.0,1,97.12966
-50.0,1,98.336203
-50.0,1,99.539509
-50.0,1,100.742726
-50.0,1,101.946144
-50.0,1,103.153284
-50.0,1,104.356628
-50.0,1,105.560554
-50.0,1,106.763806
-50.0,1,107.970782
-50.0,1,109.175144
-50.0,1,110.379346
-50.0,1,111.583002
-50.0,1,112.788991
-50.0,1,113.993116
-50.0,1,115.197371
-50.0,1,116.403665
-50.0,1,117.61152
-50.0,1,118.815289
-50.0,1,120.01922
-50.0,1,121.223512
-50.0,1,122.429002
-50.0,1,123.632885
-50.0,1,124.836703
-50.0,1,126.041898
-50.0,1,127.247755
-50.0,1,128.452124
-50.0,1,129.656143
-50.0,1,130.86011
-50.0,1,132.065595
-50.0,1,133.269897
-50.0,1,134.476626
-50.0,1,135.681507
-50.0,1,136.887128
-50.0,1,138.090501
-50.0,1,139.293882
-50.0,1,140.497812
-50.0,1,141.703047
-50.0,1,142.906715
-50.0,1,144.111541
-50.0,1,145.315128
-50.0,1,146.520783
-50.0,1,147.725677
-50.0,1,148.929368
-50.0,1,150.132974
-50.0,1,151.339196
-50.0,1,152.543102
-50.0,1,153.746685
-50.0,1,154.950679
-50.0,1,156.156621
-50.0,1,157.360544
-50.0,1,158.565978
-50.0,1,159.770619
-50.0,1,160.976513
-50.0,1,162.179939
-50.0,1,163.384301
-50.0,1,164.589108
-50.0,1,165.796891
-50.0,1,167.002311
-50.0,1,168.205626
-50.0,1,169.409486
-50.0,1,170.615102
-50.0,1,171.818808
-50.0,1,173.024296
-50.0,1,174.229921
-50.0,1,175.437489
-50.0,1,176.642137
-50.0,1,177.84674
-50.0,1,179.050199
-50.0,1,180.2549
-50.0,1,181.458321
-50.0,1,182.661699
-50.0,1,183.86507
-50.0,1,185.069757
-50.0,1,186.273506
-50.0,1,187.476774
-50.0,1,188.680273
-50.0,1,189.884968
-50.0,1,191.087863
-50.0,1,192.291332
-50.0,1,193.49502
-50.0,1,194.700438
-50.0,1,195.905897
-50.0,1,197.109872
-50.0,1,198.313825
-50.0,1,199.518877
-50.0,1,200.722545
-50.0,1,201.926512
-50.0,1,203.131687
-50.0,1,204.336775
-50.0,1,205.541335
-50.0,1,206.745579
-50.0,1,207.950011
-50.0,1,209.155941
-50.0,1,210.359862
-50.0,1,211.563501
-50.0,1,212.767146
-50.0,1,213.972505
-50.0,1,215.175904
-50.0,1,216.380366
-50.0,1,217.583816
-50.0,1,218.791241
-50.0,1,219.995645
-50.0,1,221.199747
-50.0,1,222.403228
-50.0,1,223.611343
-50.0,1,224.814976
-50.0,1,226.018283
-50.0,1,227.22182
-50.0,1,228.426529
-50.0,1,229.631342
-50.0,1,230.834874
-50.0,1,232.038436
-50.0,1,233.243452
-50.0,1,234.448067
-50.0,1,235.653705
-50.0,1,236.857411
-50.0,1,238.06283
-50.0,1,239.266473
-50.0,1,240.470077
-50.0,1,241.676597
-50.0,1,242.883038
-50.0,1,244.086614
-50.0,1,245.289787
-50.0,1,246.493668
-50.0,1,247.699156
-50.0,1,248.903079
-50.0,1,250.106178
-50.0,1,251.309661
-50.0,1,252.515945
-50.0,1,253.720317
-50.0,1,254.924087
-50.0,1,256.12808
-50.0,1,257.334137
-50.0,1,258.538085
-50.0,1,259.742186
-50.0,1,260.945953
-50.0,1,262.150649
-50.0,1,263.353579
-50.0,1,264.557506
-50.0,1,265.761641
-50.0,1,266.966958
-50.0,1,268.170501
-50.0,1,269.374013
-50.0,1,270.577561
-50.0,1,271.783374
-50.0,1,272.988073
-50.0,1,274.191934
-50.0,1,275.396195
-50.0,1,276.60239
-50.0,1,277.80738
-50.0,1,279.010855
-50.0,1,280.215002
-50.0,1,281.421321
-50.0,1,282.624709
-50.0,1,283.827962
-50.0,1,285.031272
-50.0,1,286.237273
-50.0,1,287.441889
-50.0,1,288.645816
-50.0,1,289.850068
-50.0,1,291.055728
-50.0,1,292.259592
-50.0,1,293.463368
-50.0,1,294.668024
-50.0,1,295.875582
-50.0,1,297.079209
-50.0,1,298.282544
-50.0,1,299.486428
-50.0,1,300.693178
-50.0,1,301.897058
-50.0,1,303.100659
-50.0,1,304.305048
-50.0,1,305.511092
-50.0,1,306.714555
-50.0,1,307.918371
-50.0,1,309.122142
-50.0,1,310.329119
-50.0,1,311.533518
-50.0,1,312.73723
-50.0,1,313.941307
-50.0,1,315.147825
-50.0,1,316.351318
-50.0,1,317.555068
-50.0,1,318.760752
-50.0,1,319.966078
-50.0,1,321.169828
-50.0,1,322.37314
-50.0,1,323.57709
-50.0,1,324.783005
-50.0,1,325.986534
-50.0,1,327.190196
-50.0,1,328.393759
-50.0,1,329.600772
-50.0,1,330.805193
-50.0,1,332.009679
-50.0,1,333.213675
-50.0,1,334.419939
-50.0,1,335.624133
-50.0,1,336.828375
-50.0,1,338.031958
-50.0,1,339.23694
-50.0,1,340.44137
